location,april_1_2020_estimate,Year_2020,Year_2021,Year_2022,Year_2023
United States,140498736,140808401,142163952.0,143789637.0,145344636.0
Northeast Region,24716540,24739731,24847882.0,24987885.0,25107871.0
Midwest Region,30458964,30496225,30670700.0,30871308.0,31063501.0
South Region,54542607,54709122,55444007.0,56328185.0,57185612.0
West Region,30780625,30863323,31201363.0,31602259.0,31987652.0
.Alabama,2288335,2292699,2313392.0,2339274.0,2360135.0
.Alaska,326199,326593,327870.0,329265.0,329699.0
.Arizona,3081997,3092887,3139471.0,3187159.0,3239581.0
.Arkansas,1365265,1368217,1380568.0,1395483.0,1409134.0
.California,14392140,14417100,14522573.0,14640201.0,14763237.0
.Colorado,2491403,2500762,2540253.0,2590437.0,2638724.0
.Connecticut,1530194,1531462,1536271.0,1540288.0,1546032.0
.Delaware,448736,450134,457850.0,465664.0,471458.0
.District of Columbia,350365,351431,357397.0,360808.0,367147.0
.Florida,9865356,9900426,10052371.0,10254584.0,10451818.0
.Georgia,4410953,4423088,4474560.0,4538240.0,4610567.0
.Hawaii,561065,562004,564865.0,568026.0,572063.0
.Idaho,751858,756174,775024.0,796656.0,815293.0
.Illinois,5426429,5430319,5443544.0,5458050.0,5471027.0
.Indiana,2923176,2927777,2949870.0,2976884.0,3002605.0
.Iowa,1412789,1415228,1426317.0,1438418.0,1449340.0
.Kansas,1275684,1277231,1284239.0,1292489.0,1300712.0
.Kentucky,1994315,1996968,2008086.0,2022988.0,2036728.0
.Louisiana,2073197,2076552,2093145.0,2110477.0,2124961.0
.Maine,739072,740118,745267.0,751693.0,758815.0
.Maryland,2530846,2533835,2546113.0,2558930.0,2572412.0
.Massachusetts,2998548,3001721,3014968.0,3030602.0,3045948.0
.Michigan,4570170,4575074,4595337.0,4618921.0,4643473.0
.Minnesota,2485558,2491765,2516887.0,2547496.0,2575411.0
.Mississippi,1319942,1321934,1331950.0,1342706.0,1350642.0
.Missouri,2786618,2790138,2807355.0,2826207.0,2844346.0
.Montana,514799,515937,521817.0,529044.0,535500.0
.Nebraska,844275,845922,854207.0,863764.0,873672.0
.Nevada,1281017,1285896,1305256.0,1328405.0,1348211.0
.New Hampshire,638799,639886,643926.0,648500.0,653069.0
.New Jersey,3761240,3764914,3779008.0,3791457.0,3804012.0
.New Mexico,940859,942227,947854.0,956101.0,965399.0
.New York,8488064,8495481,8536530.0,8585555.0,8631525.0
.North Carolina,4708715,4728914,4804564.0,4890097.0,4979204.0
.North Dakota,370642,371167,374404.0,377719.0,380841.0
.Ohio,5242526,5246249,5269271.0,5292920.0,5317298.0
.Oklahoma,1746807,1749327,1761958.0,1776457.0,1788972.0
.Oregon,1813746,1819203,1836750.0,1859003.0,1879586.0
.Pennsylvania,5742837,5747659,5770281.0,5814781.0,5839963.0
.Rhode Island,483468,483744,484879.0,486008.0,487132.0
.South Carolina,2344965,2353584,2395412.0,2446034.0,2490344.0
.South Dakota,393371,394348,400699.0,408198.0,417220.0
.Tennessee,3031606,3041329,3089323.0,3145179.0,3195304.0
.Texas,11589315,11640088,11866919.0,12134902.0,12395364.0
.Utah,1151414,1158358,1189720.0,1228242.0,1258623.0
.Vermont,334318,334746,336752.0,339001.0,341375.0
.Virginia,3618242,3624504,3651952.0,3684778.0,3717677.0
.Washington,3202240,3213902,3255564.0,3312639.0,3361615.0
.West Virginia,855647,856092,858447.0,861584.0,863745.0
.Wisconsin,2727726,2731007,2748570.0,2770242.0,2787556.0
.Wyoming,271888,272280,274346.0,277081.0,280121.0